"X","Y"
1511260200,23
1511262000,23
1511263800,23
1511265600,22
1511267400,22
1511269200,21
1511271000,21
1511272800,21
1511274600,21
1511276400,21
1511278200,21
1511280000,21
1511281800,21
1511283600,21
1511285400,21
1511287200,21
1511289000,21
1511290800,21
1511292600,21
1511294400,21
1511296200,21
1511298000,21
1511299800,21
1511301600,21
1511303400,21
1511305200,21
1511307000,21
1511308800,21
1511310600,21
1511312400,21
1511314200,21
1511316000,22
1511317800,22
1511319600,22
1511321400,22
1511323200,22
1511325000,23
1511326800,23
1511328600,22
1511330400,22
1511332200,22
1511334000,22
1511335800,22
1511337600,22
1511339400,22
1511341200,22
1511343000,22
1511344800,22
1511346600,22
1511348400,21
1511350200,21
1511352000,21
1511353800,21
1511355600,21
1511357400,21
1511359200,21
1511361000,21
1511362800,21
1511364600,21
1511366400,21
1511368200,21
1511370000,21
1511371800,21
1511373600,21
1511375400,21
1511377200,21
1511379000,21
1511380800,21
1511382600,21
1511384400,21
1511386200,21
1511388000,21
1511389800,21
1511391600,21
1511393400,21
1511395200,21
1511397000,21
1511398800,21
1511400600,21
1511402400,22
1511404200,22
1511406000,22
1511407800,22
1511409600,23
1511411400,23
1511413200,23
1511415000,23
1511416800,23
1511418600,22
1511420400,22
1511422200,22
1511424000,22
1511425800,22
1511427600,22
1511429400,22
1511431200,22
1511433000,21
1511434800,21
1511436600,21
1511438400,22
1511440200,21
1511442000,21
1511443800,21
1511445600,21
1511447400,21
1511449200,21
1511451000,21
1511452800,21
1511454600,21
1511456400,21
1511458200,21
1511460000,21
1511461800,21
1511463600,21
1511465400,21
1511467200,21
1511469000,21
1511470800,21
1511472600,21
1511474400,21
1511476200,21
1511478000,21
1511479800,21
1511481600,21
1511483400,20
1511485200,21
1511487000,21
1511488800,21
1511490600,21
1511492400,21
1511494200,21
1511496000,21
1511497800,21
1511499600,21
1511501400,21
1511503200,21
1511505000,21
1511506800,21
1511508600,21
1511510400,21
1511512200,21
1511514000,21
1511515800,21
1511517600,21
1511519400,21
1511521200,21
1511523000,21
1511524800,21
1511526600,21
1511528400,21
1511530200,21
1511532000,21
1511533800,21
1511535600,21
1511537400,21
1511539200,21
1511541000,21
1511542800,21
1511544600,21
1511546400,21
1511548200,21
1511550000,21
1511551800,21
1511553600,21
1511555400,21
1511557200,21
1511559000,21
1511560800,21
1511562600,21
1511564400,21
1511566200,21
1511568000,20
1511569800,21
1511571600,20
1511573400,21
1511575200,21